t_wql,trp,cdom,temp
01-01-2025 00:04:10,57.4915822643848,1077.69891590586,13.2
01-01-2025 00:14:10,58.0627253888554,1077.55506287147,13.19
01-01-2025 00:24:10,55.6997220179707,1077.41125521239,13.19
01-01-2025 00:34:10,56.6543875927456,1077.2674929286,13.19
01-01-2025 00:44:10,56.5663535786235,1077.12377602012,13.19
01-01-2025 00:54:10,56.9565918905728,1076.98010448694,13.2
01-01-2025 01:04:10,57.1529387098895,1079.12353864423,13.2
01-01-2025 01:14:10,57.6336763797221,1080.31903945705,13.2
01-01-2025 01:24:10,56.3132517165685,1083.31574521274,13.2
01-01-2025 01:34:10,57.7375825721497,1084.52270428932,13.19
01-01-2025 01:44:10,57.7443225858469,1087.70885723476,13.19
01-01-2025 01:54:10,56.2301465847512,1087.20939137241,13.18
01-01-2025 02:04:10,57.7534149838545,1085.656227312,13.18
01-01-2025 02:14:10,56.0455503487756,1087.34807809181,13.16
01-01-2025 02:24:10,56.5239639877038,1086.6481710921,13.16
01-01-2025 02:34:10,57.0023748612158,1089.18148554971,13.15
01-01-2025 02:44:10,58.6156040338944,1090.86167746037,13.14
01-01-2025 02:54:10,57.6704121630435,1091.97318392707,13.13
01-01-2025 03:04:10,56.7253630838942,1091.75821627899,13.12
01-01-2025 03:14:10,57.4856444080694,1092.49066227705,13.11
01-01-2025 03:24:10,58.0563569459826,1095.49646033473,13.1
01-01-2025 03:34:10,57.3009261913628,1095.66030826125,13.09
01-01-2025 03:44:10,57.4883681692201,1097.25529122247,13.07
01-01-2025 03:54:10,55.5925894432573,1100.64894501044,13.05
01-01-2025 04:04:10,56.3525430057853,1101.38060045069,13.04
01-01-2025 04:14:10,57.7707332801067,1102.50094797204,13.02
01-01-2025 04:24:10,57.0114693890609,1102.7691390628,13
01-01-2025 04:34:10,57.3924368745011,1103.3112335113,12.99
01-01-2025 04:44:10,56.9129972570818,1105.38719651747,12.96
01-01-2025 04:54:10,56.6315350515685,1105.92904320156,12.95
01-01-2025 05:04:10,57.8594992453906,1104.21016462207,12.93
01-01-2025 05:14:10,56.0645023624158,1104.37370933698,12.92
01-01-2025 05:24:10,57.3868507803074,1105.02010413024,12.9
01-01-2025 05:34:10,57.3848656619158,1106.51746231938,12.88
01-01-2025 05:44:10,56.3428091220003,1104.04324558342,12.86
01-01-2025 06:04:10,55.7611457405295,1106.89318555926,12.81
01-01-2025 06:14:10,56.7989253551528,1106.49940486656,12.79
01-01-2025 06:24:10,57.2694654159475,1106.20029477224,12.77
01-01-2025 06:34:10,57.0742531674871,1104.39971995783,12.74
01-01-2025 06:44:10,56.0333543422652,1104.6678816057,12.72
01-01-2025 06:54:10,56.9759415924548,1104.08609519671,12.7
01-01-2025 07:04:10,56.3173006374076,1104.06110614531,12.69
01-01-2025 07:14:10,57.0665027199681,1102.54561327431,12.66
01-01-2025 07:24:10,56.6827271926802,1104.90072349357,12.63
01-01-2025 07:34:10,56.7752197915019,1104.69704652221,12.61
01-01-2025 07:44:10,57.3351605138526,1102.33339149139,12.58
01-01-2025 07:54:10,56.0082695491507,1103.366725832,12.55
01-01-2025 08:04:10,57.1425592806071,1102.87057928022,12.54
01-01-2025 08:14:10,57.8863693629454,1101.46200373161,12.5
