time,cdom
09-02-2024 00:06:00,3530.91672417801
09-02-2024 00:16:00,3501.96842983905
09-02-2024 00:26:00,3478.0023776519
09-02-2024 00:36:00,3488.88133715792
09-02-2024 00:46:00,3499.9989413111
09-02-2024 00:56:00,3490.9788504399
09-02-2024 01:06:00,3512.81644602019
09-02-2024 01:16:00,3541.88989325355
09-02-2024 01:26:00,3562.47621552121
09-02-2024 01:36:00,3546.42592435692
09-02-2024 01:46:00,3546.09805627051
09-02-2024 01:56:00,3539.20998241188
09-02-2024 02:06:00,3553.84292594513
09-02-2024 02:16:00,3479.18051329833
09-02-2024 02:26:00,3518.38758222234
09-02-2024 02:36:00,3581.39742048041
09-02-2024 02:46:00,3584.44313386588
09-02-2024 02:56:00,3692.52511611684
09-02-2024 03:06:00,3685.15347637755
09-02-2024 03:16:00,3682.04244356444
09-02-2024 03:26:00,3627.44220189733
09-02-2024 03:36:00,3641.42821991785
09-02-2024 03:46:00,3718.6792551937
09-02-2024 03:56:00,3664.05850946817
09-02-2024 04:06:00,3698.01219922545
09-02-2024 04:16:00,3680.48648867098
09-02-2024 04:26:00,3680.27574500883
09-02-2024 04:36:00,3687.81618068643
09-02-2024 04:46:00,3719.41414510649
09-02-2024 04:56:00,3703.97464760981
09-02-2024 05:06:00,3640.03781809962
09-02-2024 05:16:00,3678.90288509764
09-02-2024 05:26:00,3736.8099043842
09-02-2024 05:36:00,3671.42141061927
09-02-2024 05:46:00,3692.64117472465
09-02-2024 05:56:00,3660.13264619002
09-02-2024 06:06:00,3679.61020823603
09-02-2024 06:16:00,3716.3779579327
09-02-2024 06:26:00,3740.50868970868
09-02-2024 06:36:00,3625.64580049692
09-02-2024 06:46:00,3675.76287490843
09-02-2024 06:56:00,3653.54242713788
09-02-2024 07:06:00,3675.21059653918
09-02-2024 07:16:00,3652.88859566288
09-02-2024 07:26:00,3648.2544033278
09-02-2024 07:36:00,3670.40137729798
09-02-2024 07:46:00,3712.74011674117
09-02-2024 07:56:00,3719.22356646225
09-02-2024 08:06:00,3636.51482922356
09-02-2024 08:16:00,3668.52217626149
09-02-2024 08:26:00,3601.95289251595
09-02-2024 08:36:00,3620.79898199886
09-02-2024 08:46:00,3507.05080289809
09-02-2024 08:56:00,3715.34711519058
09-02-2024 09:06:00,3735.7824438359
09-02-2024 09:16:00,3575.12430877203
09-02-2024 09:26:00,3719.14880719913
09-02-2024 09:36:00,3622.48041860999
09-02-2024 09:46:00,3633.1966375971
09-02-2024 09:56:00,3612.94058757407
09-02-2024 10:06:00,3569.63574624078
09-02-2024 10:16:00,3680.91978298747
09-02-2024 10:26:00,3616.42204768109
09-02-2024 10:36:00,3604.49830198526
09-02-2024 10:46:00,3643.00387888483
09-02-2024 10:56:00,3576.90737395728
09-02-2024 11:06:00,3585.72994684401
09-02-2024 11:16:00,3590.96519514197
09-02-2024 11:26:00,3630.49011230568
09-02-2024 11:36:00,3588.23437656375
09-02-2024 11:46:00,3596.25071775585
09-02-2024 11:56:00,3570.25937437077
09-02-2024 12:06:00,3566.43230502359
09-02-2024 12:16:00,3556.18168888752
09-02-2024 12:26:00,3559.99819362909
09-02-2024 12:36:00,3553.1599034008
09-02-2024 12:46:00,3535.28486728211
09-02-2024 12:56:00,3552.95343231031
09-02-2024 13:06:00,3623.73179308294
09-02-2024 13:16:00,3581.16565617112
09-02-2024 13:26:00,3567.75852026398
09-02-2024 13:36:00,3580.67985253468
09-02-2024 13:46:00,3566.06947479081
09-02-2024 13:56:00,3557.4205046428
09-02-2024 14:06:00,3553.63221406278
09-02-2024 14:16:00,3553.24243232182
09-02-2024 14:26:00,3574.77903987507
09-02-2024 14:36:00,3579.74688412288
09-02-2024 14:46:00,3561.93653919171
09-02-2024 14:56:00,3531.75799694218
09-02-2024 15:06:00,3564.5792426086
09-02-2024 15:16:00,3568.82569875265
09-02-2024 15:26:00,3562.89379955393
09-02-2024 15:36:00,3523.98909296471
09-02-2024 15:46:00,3575.86477396292
09-02-2024 15:56:00,3582.19429971283
09-02-2024 16:06:00,3525.47600132664
09-02-2024 16:16:00,3562.50568120297
09-02-2024 16:26:00,3546.99898476634
09-02-2024 16:36:00,3530.23178063322
09-02-2024 16:46:00,3577.27828797986
09-02-2024 16:56:00,3600.3333687241
09-02-2024 17:06:00,3585.50779059646
09-02-2024 17:16:00,3551.28319078496
09-02-2024 17:26:00,3566.85812969425
09-02-2024 17:36:00,3591.57286660508
09-02-2024 17:46:00,3518.52681551261
09-02-2024 17:56:00,3533.82109543155
09-02-2024 18:06:00,3546.69764710305
09-02-2024 18:16:00,3521.16485009194
09-02-2024 18:26:00,3563.85213441013
09-02-2024 18:36:00,3537.14038377674
09-02-2024 18:46:00,3542.40980439627
09-02-2024 18:56:00,3532.20215466594
09-02-2024 19:06:00,3491.83137643607
09-02-2024 19:16:00,3505.01213668817
09-02-2024 19:26:00,3488.85169700886
09-02-2024 19:36:00,3523.45602117261
09-02-2024 19:46:00,3492.0542128086
09-02-2024 19:56:00,3491.58005746216
09-02-2024 20:06:00,3515.42793595259
09-02-2024 20:16:00,3477.94289755344
09-02-2024 20:26:00,3454.50063102119
09-02-2024 20:36:00,3488.14837311541
09-02-2024 20:46:00,3490.96181798699
09-02-2024 20:56:00,3467.32031987989
09-02-2024 21:06:00,3464.01462662302
09-02-2024 21:16:00,3479.88258019736
09-02-2024 21:26:00,3474.87803733824
09-02-2024 21:36:00,3497.95312179038
09-02-2024 21:46:00,3488.52944763845
09-02-2024 21:56:00,3493.98793331679
09-02-2024 22:06:00,3481.7426673057
09-02-2024 22:16:00,3495.02903468492
09-02-2024 22:26:00,3490.39866431864
09-02-2024 22:36:00,3483.15685501298
09-02-2024 22:46:00,3486.21800262024
09-02-2024 22:56:00,3495.81868981874
09-02-2024 23:06:00,3468.72871716316
09-02-2024 23:16:00,3476.55471342769
09-02-2024 23:26:00,3503.0210556711
09-02-2024 23:36:00,3485.04256207524
09-02-2024 23:46:00,3488.30703318781
09-02-2024 23:56:00,3522.81551100318
09-03-2024 00:06:00,3570.67463037241
09-03-2024 00:16:00,3564.76868483538
09-03-2024 00:26:00,3548.31079847657
09-03-2024 00:36:00,3550.55720531057
09-03-2024 00:46:00,3520.34281479371
09-03-2024 00:56:00,3513.11595928912
09-03-2024 01:06:00,3549.56761568994
09-03-2024 01:16:00,3519.99806972506
09-03-2024 01:26:00,3578.68825454252
09-03-2024 01:36:00,3544.87794407103
09-03-2024 01:46:00,3530.43869103365
09-03-2024 01:56:00,3573.45272400796
09-03-2024 02:06:00,3630.08161536957
09-03-2024 02:16:00,3631.56202989486
09-03-2024 02:26:00,3622.2132420169
09-03-2024 02:36:00,3638.01178468535
09-03-2024 02:46:00,3652.40174377843
09-03-2024 02:56:00,3655.75956271809
09-03-2024 03:06:00,3691.52797127851
09-03-2024 03:16:00,3693.63170268616
09-03-2024 03:26:00,3703.52956206712
09-03-2024 03:36:00,3700.0244228469
09-03-2024 03:46:00,3641.59542441664
09-03-2024 03:56:00,3647.98937343901
09-03-2024 04:06:00,3694.1189358663
09-03-2024 04:16:00,3710.17915937234
09-03-2024 04:26:00,3684.97275631006
09-03-2024 04:36:00,3691.9574502693
09-03-2024 04:46:00,3650.60512636873
09-03-2024 04:56:00,3674.69778129551
09-03-2024 05:06:00,3677.45022260819
09-03-2024 05:16:00,3642.97190230257
09-03-2024 05:26:00,3683.10329526882
09-03-2024 05:36:00,3640.12393096487
09-03-2024 05:46:00,3700.24727564571
09-03-2024 05:56:00,3627.9112895151
09-03-2024 06:06:00,3642.46421317967
09-03-2024 06:16:00,3700.01835702034
09-03-2024 06:26:00,3640.73773640814
09-03-2024 06:36:00,3674.23028229309
09-03-2024 06:46:00,3638.27973903306
09-03-2024 06:56:00,3634.34810444393
09-03-2024 07:06:00,3643.50713225391
09-03-2024 07:16:00,3654.19238406791
09-03-2024 07:26:00,3645.10740505849
09-03-2024 07:36:00,3716.10678056406
09-03-2024 07:46:00,3667.5549385271
09-03-2024 07:56:00,3646.93302792721
09-03-2024 08:06:00,3582.47220630385
09-03-2024 08:16:00,3602.28376966683
09-03-2024 08:26:00,3594.90854230514
09-03-2024 08:36:00,3517.92016612515
09-03-2024 08:46:00,3558.93755954583
09-03-2024 08:56:00,3611.37032667958
09-03-2024 09:06:00,3684.80321865193
09-03-2024 09:16:00,3542.02864220498
09-03-2024 09:26:00,3577.66657138566
09-03-2024 09:36:00,3568.62115139931
09-03-2024 09:46:00,3593.24146105765
09-03-2024 09:56:00,3524.2836039092
09-03-2024 10:06:00,3530.20730931
09-03-2024 10:16:00,3565.82636732866
09-03-2024 10:26:00,3582.57201182603
09-03-2024 10:36:00,3546.83529507362
09-03-2024 10:46:00,3539.03043463617
09-03-2024 10:56:00,3542.01896143612
09-03-2024 11:06:00,3541.25693860359
09-03-2024 11:16:00,3541.08023134883
09-03-2024 11:26:00,3536.04343634085
09-03-2024 11:36:00,3532.71234313248
09-03-2024 11:46:00,3551.76628562302
09-03-2024 11:56:00,3537.04337740373
09-03-2024 12:06:00,3523.63338601813
09-03-2024 12:16:00,3520.84315711239
09-03-2024 12:26:00,3535.77921329097
09-03-2024 12:36:00,3538.67177807417
09-03-2024 12:46:00,3558.09193522921
09-03-2024 12:56:00,3560.3598969078
09-03-2024 13:06:00,3543.89281602132
09-03-2024 13:16:00,3539.04394064485
09-03-2024 13:26:00,3591.9776369839
09-03-2024 13:36:00,3561.62371073884
09-03-2024 13:46:00,3556.59869964566
09-03-2024 13:56:00,3549.06628143789
09-03-2024 14:06:00,3561.59588435443
09-03-2024 14:16:00,3537.65636977795
09-03-2024 14:26:00,3565.67041034877
09-03-2024 14:36:00,3558.98909493596
09-03-2024 14:46:00,3552.10120077855
09-03-2024 14:56:00,3553.8179083619
09-03-2024 15:06:00,3534.89755134286
09-03-2024 15:16:00,3554.54188132517
09-03-2024 15:26:00,3563.20414151116
09-03-2024 15:36:00,3558.20701748666
09-03-2024 15:46:00,3574.09427311911
09-03-2024 15:56:00,3542.90243009239
09-03-2024 16:06:00,3530.91915833506
09-03-2024 16:16:00,3545.04912444228
09-03-2024 16:26:00,3537.27185654926
09-03-2024 16:36:00,3512.54394014411
09-03-2024 16:46:00,3552.48876544322
09-03-2024 16:56:00,3604.98601682337
09-03-2024 17:06:00,3552.50473617383
09-03-2024 17:16:00,3546.85663618232
09-03-2024 17:26:00,3562.46202008338
09-03-2024 17:36:00,3592.94187032691
09-03-2024 17:46:00,3528.39953933916
09-03-2024 17:56:00,3527.83260597347
09-03-2024 18:06:00,3540.94383411279
09-03-2024 18:16:00,3520.30754924384
09-03-2024 18:26:00,3508.25033588995
09-03-2024 18:36:00,3515.22470753814
09-03-2024 18:46:00,3526.56400761621
09-03-2024 18:56:00,3530.23576077775
09-03-2024 19:06:00,3523.63008874335
09-03-2024 19:16:00,3504.44273384612
09-03-2024 19:26:00,3528.30893232843
09-03-2024 19:36:00,3529.50873244152
09-03-2024 19:46:00,3492.58765034713
09-03-2024 19:56:00,3546.04988388627
09-03-2024 20:06:00,3499.85773456189
09-03-2024 20:16:00,3541.92106561597
09-03-2024 20:26:00,3480.90629382447
