time,trp
09-02-2024 00:06:00,108.212944785294
09-02-2024 00:16:00,108.42217430928
09-02-2024 00:26:00,109.042124679847
09-02-2024 00:36:00,108.94770356561
09-02-2024 00:46:00,110.799921695803
09-02-2024 00:56:00,108.955474539526
09-02-2024 01:06:00,109.673741752701
09-02-2024 01:16:00,108.753524793539
09-02-2024 01:26:00,107.21296182378
09-02-2024 01:36:00,109.26593213648
09-02-2024 01:46:00,108.640762546353
09-02-2024 01:56:00,107.71223007815
09-02-2024 02:06:00,109.340741099819
09-02-2024 02:16:00,108.51071871377
09-02-2024 02:26:00,109.112679271995
09-02-2024 02:36:00,109.304178296166
09-02-2024 02:46:00,111.434470306419
09-02-2024 02:56:00,111.518316218032
09-02-2024 03:06:00,111.089874374067
09-02-2024 03:16:00,110.862052281373
09-02-2024 03:26:00,109.922182540884
09-02-2024 03:36:00,110.611592693896
09-02-2024 03:46:00,110.998026320174
09-02-2024 03:56:00,110.872854215767
09-02-2024 04:06:00,110.436639701704
09-02-2024 04:16:00,112.657566198263
09-02-2024 04:26:00,110.284730583496
09-02-2024 04:36:00,109.742792173215
09-02-2024 04:46:00,111.04276726593
09-02-2024 04:56:00,111.627571803628
09-02-2024 05:06:00,109.764537492475
09-02-2024 05:16:00,110.655196355752
09-02-2024 05:26:00,112.059100609587
09-02-2024 05:36:00,112.438882865191
09-02-2024 05:46:00,110.994652281434
09-02-2024 05:56:00,110.055847304185
09-02-2024 06:06:00,109.829976463839
09-02-2024 06:16:00,109.502554692944
09-02-2024 06:26:00,110.80670141422
09-02-2024 06:36:00,111.906776767301
09-02-2024 06:46:00,110.876478726019
09-02-2024 06:56:00,110.151497554411
09-02-2024 07:06:00,112.673063487844
09-02-2024 07:16:00,108.499447151164
09-02-2024 07:26:00,110.419948235038
09-02-2024 07:36:00,109.797253829842
09-02-2024 07:46:00,112.325767948412
09-02-2024 07:56:00,112.41776645267
09-02-2024 08:06:00,110.881837088207
09-02-2024 08:16:00,111.075505606641
09-02-2024 08:26:00,110.969267785979
09-02-2024 08:36:00,109.540257228663
09-02-2024 08:46:00,111.360873892706
09-02-2024 08:56:00,110.333366060829
09-02-2024 09:06:00,110.729720396414
09-02-2024 09:16:00,110.218241954757
09-02-2024 09:26:00,109.200204628836
09-02-2024 09:36:00,110.521681911438
09-02-2024 09:46:00,109.91776653727
09-02-2024 09:56:00,109.516528602123
09-02-2024 10:06:00,108.106187109695
