time,trp
01-01-2025 00:04:10,57.4915822643848
01-01-2025 00:14:10,58.0627253888554
01-01-2025 00:24:10,55.6997220179707
01-01-2025 00:34:10,56.6543875927456
01-01-2025 00:44:10,56.5663535786235
01-01-2025 00:54:10,56.9565918905728
01-01-2025 01:04:10,57.1529387098895
01-01-2025 01:14:10,57.6336763797221
01-01-2025 01:24:10,56.3132517165685
01-01-2025 01:34:10,57.7375825721497
01-01-2025 01:44:10,57.7443225858469
01-01-2025 01:54:10,56.2301465847512
01-01-2025 02:04:10,57.7534149838545
01-01-2025 02:14:10,56.0455503487756
01-01-2025 02:24:10,56.5239639877038
01-01-2025 02:34:10,57.0023748612158
01-01-2025 02:44:10,58.6156040338944
01-01-2025 02:54:10,57.6704121630435
01-01-2025 03:04:10,56.7253630838942
01-01-2025 03:14:10,57.4856444080694
01-01-2025 03:24:10,58.0563569459826
01-01-2025 03:34:10,57.3009261913628
01-01-2025 03:44:10,57.4883681692201
01-01-2025 03:54:10,55.5925894432573
01-01-2025 04:04:10,56.3525430057853
01-01-2025 04:14:10,57.7707332801067
01-01-2025 04:24:10,57.0114693890609
01-01-2025 04:34:10,57.3924368745011
01-01-2025 04:44:10,56.9129972570818
01-01-2025 04:54:10,56.6315350515685
01-01-2025 05:04:10,57.8594992453906
01-01-2025 05:14:10,56.0645023624158
01-01-2025 05:24:10,57.3868507803074
01-01-2025 05:34:10,57.3848656619158
01-01-2025 05:44:10,56.3428091220003
01-01-2025 06:04:10,55.7611457405295
01-01-2025 06:14:10,56.7989253551528
01-01-2025 06:24:10,57.2694654159475
01-01-2025 06:34:10,57.0742531674871
01-01-2025 06:44:10,56.0333543422652
01-01-2025 06:54:10,56.9759415924548
01-01-2025 07:04:10,56.3173006374076
01-01-2025 07:14:10,57.0665027199681
01-01-2025 07:24:10,56.6827271926802
01-01-2025 07:34:10,56.7752197915019
01-01-2025 07:44:10,57.3351605138526
01-01-2025 07:54:10,56.0082695491507
01-01-2025 08:04:10,57.1425592806071
01-01-2025 08:14:10,57.8863693629454
01-01-2025 08:24:10,55.9044565231092
01-01-2025 08:34:10,57.1281297896316
01-01-2025 08:44:10,55.9951827781271
01-01-2025 08:54:10,55.6248070858114
01-01-2025 09:04:10,56.0042272564502
01-01-2025 09:14:10,56.0066457420177
01-01-2025 09:24:10,56.3944320480607
01-01-2025 09:34:10,55.5528603585385
01-01-2025 09:44:10,56.6003838319917
01-01-2025 09:54:10,55.5744076016661
01-01-2025 10:04:10,55.9664301766481
01-01-2025 10:14:10,56.4528530362371
01-01-2025 10:24:10,56.2877590711584
01-01-2025 10:34:10,56.4999304614505
01-01-2025 10:44:10,56.9953400776875
01-01-2025 10:54:10,55.6072028386066
01-01-2025 11:04:10,56.106876636348
01-01-2025 11:14:10,56.6026738007853
01-01-2025 11:24:10,56.1537520602481
01-01-2025 11:34:10,55.5113211381653
01-01-2025 11:44:10,56.7552219144299
01-01-2025 11:54:10,56.8691457274529
01-01-2025 12:04:10,56.4113938609109
01-01-2025 12:14:10,57.0928428291722
01-01-2025 12:24:10,57.4864275265513
01-01-2025 12:34:10,57.7855035343832
01-01-2025 12:44:10,55.0562312157086
01-01-2025 12:54:10,56.6759023021885
01-01-2025 13:04:10,55.7401847289546
01-01-2025 13:14:10,56.3231154691422
01-01-2025 13:24:10,56.4328097126148
