modelNames,average_rsquared,standard_deviation
First Order.mat,0.483736711609334,0.319193743074819
Second Order.mat,0.578410051070977,0.297403060276677
Third Order.mat,0.626332326616262,0.251180868848462
Fourth Order.mat,0.653158785849904,0.240192005398604
Fifth Order.mat,0.680230606616547,0.232888538457476
