t_wql,trp,cdom,temp
09-01-2024 00:06:00,105.33887749487,3439.86664321966,24.78
09-01-2024 00:16:00,106.678964751032,3507.36489514218,24.78
09-01-2024 00:26:00,106.887912554649,3485.10070226727,24.78
09-01-2024 00:36:00,107.51252017935,3503.89391035276,24.79
09-01-2024 00:46:00,106.898789775386,3557.66738277038,24.79
09-01-2024 00:56:00,107.823274240105,3572.14287112668,24.78
09-01-2024 01:06:00,108.953303965252,3522.02988231319,24.77
09-01-2024 01:16:00,107.204270883157,3385.40178099851,24.76
09-01-2024 01:26:00,106.894830922797,3444.39448769087,24.75
09-01-2024 01:36:00,107.202273345519,3518.35015476338,24.74
09-01-2024 01:46:00,103.085184024022,3530.5615412478,24.72
09-01-2024 01:56:00,104.8235107047,3543.83263564348,24.69
09-01-2024 02:06:00,107.691565463624,3575.80057533242,24.66
09-01-2024 02:16:00,106.551749044845,3524.75132758536,24.63
09-01-2024 02:26:00,107.158611694221,3534.6909819204,24.6
09-01-2024 02:36:00,109.189846135047,3497.3640938433,24.54
09-01-2024 02:46:00,109.483489909161,3486.78464725859,24.5
09-01-2024 02:56:00,107.518993177527,3602.87118877427,24.46
09-01-2024 03:06:00,109.651038161641,3642.17503992494,24.4
09-01-2024 03:16:00,111.170727072148,3583.59250479758,24.35
09-01-2024 03:26:00,110.126031904567,3613.83992088974,24.3
09-01-2024 03:36:00,109.180056924847,3661.36977258832,24.24
09-01-2024 03:46:00,107.21438174893,3688.76282183194,24.19
09-01-2024 03:56:00,108.929028549345,3660.39914812065,24.12
09-01-2024 04:06:00,108.705641420673,3711.44326987278,24.07
09-01-2024 04:16:00,109.087814645103,3648.99440543721,24
09-01-2024 04:26:00,111.008931706932,3664.57740898753,23.94
09-01-2024 04:36:00,108.530400374408,3651.0335165223,23.88
09-01-2024 04:46:00,110.548139287483,3638.65466351166,23.81
09-01-2024 04:56:00,109.400380716675,3702.06683175102,23.75
09-01-2024 05:06:00,110.194699522765,3685.331129072,23.69
09-01-2024 05:16:00,110.677575291788,3650.80554766,23.62
09-01-2024 05:26:00,108.510138255514,3558.13097846473,23.56
09-01-2024 05:36:00,109.303903560675,3594.28512773272,23.5
09-01-2024 05:46:00,109.280943669527,3578.87294819895,23.44
09-01-2024 05:56:00,108.845697138466,3618.59731703787,23.37
09-01-2024 06:06:00,109.642890347745,3575.22202299404,23.32
09-01-2024 06:16:00,106.664357691915,3594.55619265993,23.26
09-01-2024 06:26:00,109.4949642427,3610.58652692578,23.2
09-01-2024 06:36:00,110.596734479569,3692.04796918856,23.15
09-01-2024 06:46:00,107.926291240565,3697.1446266726,23.09
09-01-2024 06:56:00,110.249210184084,3629.6447799581,23.04
09-01-2024 07:06:00,109.009439063323,3694.28811826194,22.99
09-01-2024 07:16:00,108.482458749298,3636.98623159387,22.94
09-01-2024 07:26:00,108.468588078369,3629.27054896612,22.9
09-01-2024 07:36:00,108.759754480013,3606.71757373911,22.86
09-01-2024 07:46:00,108.436556684133,3642.01145851772,22.81
09-01-2024 07:56:00,109.134074394391,3629.29089994485,22.77
09-01-2024 08:06:00,108.71369765279,3692.24594471404,22.73
09-01-2024 08:16:00,108.801392519327,3692.1927175068,22.69
09-01-2024 08:26:00,108.685951953472,3663.11908312277,22.65
09-01-2024 08:36:00,110.097883222694,3623.01480138239,22.62
09-01-2024 08:46:00,107.753290440294,3586.91376906851,22.59
09-01-2024 08:56:00,108.661749370615,3634.33961379546,22.57
09-01-2024 09:06:00,110.276009887517,3654.40193925259,22.54
09-01-2024 09:16:00,111.483841779875,3640.3639835124,22.51
09-01-2024 09:26:00,110.768173381632,3617.33528910638,22.49
09-01-2024 09:36:00,110.255563676216,3623.70006684719,22.47
09-01-2024 09:46:00,108.323039084813,3665.66683621164,22.45
09-01-2024 09:56:00,109.742206561153,3591.829428085,22.44
09-01-2024 10:06:00,108.321465360223,3543.19836076687,22.43
09-01-2024 10:16:00,108.722009705368,3601.27836528507,22.41
09-01-2024 10:26:00,109.942433253159,3608.11429986325,22.41
09-01-2024 10:36:00,109.945968483784,3564.67250568465,22.41
09-01-2024 10:46:00,107.519982091166,3633.80372230816,22.42
09-01-2024 10:56:00,106.213514058759,3587.97154090136,22.44
09-01-2024 11:06:00,107.235559144487,3567.55097420676,22.45
09-01-2024 11:16:00,106.740381628703,3571.28516086618,22.47
09-01-2024 11:26:00,107.365349070315,3550.40271227955,22.5
09-01-2024 11:36:00,107.495923343238,3555.1651499889,22.56
09-01-2024 11:46:00,106.310864065337,3547.24042247666,22.63
09-01-2024 11:56:00,107.672877098155,3532.71344639618,22.72
09-01-2024 12:06:00,107.100824380914,3539.77912357499,22.8
09-01-2024 12:16:00,107.545104946003,3536.82092326562,22.88
09-01-2024 12:26:00,106.162772426019,3529.63284582366,22.97
