t_wql,trp,cdom,temp
05-01-2025 00:09:00,62.3020387685489,485.256218138327,20.36
05-01-2025 00:19:00,61.8164446435343,485.295999812305,20.36
05-01-2025 00:29:00,63.6331376124518,485.924134986175,20.35
05-01-2025 00:39:00,64.0501353345786,486.465254710368,20.35
05-01-2025 00:49:00,63.3552384592778,487.480839950934,20.33
05-01-2025 00:59:00,63.0659396084314,487.70754874494,20.32
05-01-2025 01:09:00,63.3781959266539,487.633447942463,20.31
05-01-2025 01:19:00,63.0758640725517,490.124763614025,20.27
05-01-2025 01:29:00,63.2834182729628,491.439714887776,20.25
05-01-2025 01:39:00,64.0875887571248,491.738654938511,20.22
05-01-2025 01:49:00,62.5878459620843,492.037474622066,20.19
05-01-2025 01:59:00,63.0914247224058,490.333588255885,20.16
05-01-2025 02:09:00,64.2955032360227,492.734858132358,20.13
05-01-2025 02:19:00,63.0927202745449,492.319011627397,20.09
05-01-2025 02:29:00,63.891532729155,492.903884339146,20.05
05-01-2025 02:39:00,63.4853695455436,493.074649742822,20
05-01-2025 02:49:00,61.7843058310922,493.758926692124,19.96
05-01-2025 02:59:00,63.5777167195806,494.229133026373,19.91
05-01-2025 03:09:00,64.0711628483131,494.599142381371,19.86
05-01-2025 03:19:00,62.9666747025078,494.869075807712,19.81
05-01-2025 03:29:00,63.6596104531179,494.54002068902,19.76
05-01-2025 03:39:00,63.5538699728639,493.612700355876,19.71
05-01-2025 03:49:00,64.2460393476402,494.082364390274,19.66
05-01-2025 03:59:00,63.0436267881948,494.950464421683,19.61
05-01-2025 04:09:00,64.4285726917072,496.700865277739,19.55
05-01-2025 04:19:00,63.7295325241952,493.696593284395,19.51
05-01-2025 04:29:00,63.5201353802276,493.55474763041,19.45
05-01-2025 04:39:00,64.9981700523826,494.195578808693,19.38
05-01-2025 04:49:00,63.3009195279572,494.564747186233,19.33
05-01-2025 04:59:00,63.7879803836245,495.715346798364,19.27
05-01-2025 05:09:00,65.3720988709411,495.984353247856,19.22
05-01-2025 05:19:00,64.56651857733,496.040831751788,19.16
05-01-2025 05:29:00,63.0710640810484,497.401773769176,19.11
05-01-2025 05:39:00,63.9543965418634,496.167581338174,19.05
05-01-2025 05:49:00,63.2455372428911,496.508033345777,18.98
05-01-2025 05:59:00,63.6322212100105,497.853279818903,18.92
05-01-2025 06:09:00,64.7165750731213,497.32837021961,18.87
05-01-2025 06:19:00,64.4991810941949,495.871659056097,18.79
05-01-2025 06:29:00,63.7055371603909,496.747805209512,18.75
05-01-2025 06:39:00,63.0028614256689,497.101274577311,18.69
05-01-2025 06:49:00,64.2877218420386,497.283985273264,18.65
05-01-2025 06:59:00,64.4752323788956,497.142697915758,18.59
05-01-2025 07:09:00,61.6030618537909,497.410574363405,18.54
05-01-2025 07:19:00,63.0802233689611,496.69034334278,18.49
05-01-2025 07:29:00,64.3630606347654,497.366941179414,18.45
05-01-2025 07:39:00,63.7648591433299,497.042267972391,18.4
05-01-2025 07:49:00,63.5618915215872,495.533688849468,18.35
05-01-2025 07:59:00,64.0582655446184,496.815487222867,18.32
05-01-2025 08:09:00,63.8553351999978,496.294301555947,18.27
05-01-2025 08:19:00,63.6568626157313,496.772903615746,18.23
05-01-2025 08:29:00,63.4627923785528,497.067601927801,18.2
05-01-2025 08:39:00,62.5832035991238,496.784355415725,18.18
05-01-2025 08:49:00,64.6600060478772,495.811441784685,18.16
05-01-2025 08:59:00,63.1851543389451,497.091384833649,18.13
05-01-2025 09:09:00,63.7878668282707,497.215732124208,18.12
05-01-2025 09:19:00,63.9921983335164,496.243215894841,18.1
05-01-2025 09:29:00,64.6888419605566,499.505400087845,18.08
05-01-2025 09:39:00,64.7004103804277,499.432531502982,18.07
05-01-2025 09:49:00,64.7206811998106,497.417288458919,18.08
05-01-2025 09:59:00,64.1457571223733,497.357909920487,18.08
05-01-2025 10:09:00,63.4723598508976,498.086281834524,18.08
05-01-2025 10:19:00,63.2998032546374,497.167254409957,18.1
05-01-2025 10:29:00,63.5169581150072,497.416548288595,18.11
05-01-2025 10:39:00,64.4236845721543,497.567311278627,18.12
05-01-2025 10:49:00,64.0541723781312,497.829924422501,18.14
05-01-2025 10:59:00,63.4874649001906,496.515944712907,18.16
05-01-2025 11:09:00,63.8118178414774,496.200217057112,18.19
05-01-2025 11:19:00,64.03773513254,497.362988238382,18.22
05-01-2025 11:29:00,63.0888934970175,497.172291278502,18.27
05-01-2025 11:39:00,62.8341165355623,496.303875422451,18.33
05-01-2025 11:49:00,63.5577479017664,496.789984396577,18.37
05-01-2025 11:59:00,63.6894326237426,496.782607053046,18.41
05-01-2025 12:09:00,63.1467225425032,497.124461380853,18.49
05-01-2025 12:19:00,63.1922282581203,497.453237746472,18.56
05-01-2025 12:29:00,63.5429991250608,494.940079058045,18.65
05-01-2025 12:39:00,64.6905497481746,495.604000472936,18.75
05-01-2025 12:49:00,64.5648920625698,495.019971242056,18.88
05-01-2025 12:59:00,63.9171343893164,495.645167317703,18.95
05-01-2025 13:09:00,64.3773257118883,496.919146362138,19.06
05-01-2025 13:19:00,63.0375959183267,494.480537538024,19.14
05-01-2025 13:29:00,62.9922199430303,494.734762791397,19.23
05-01-2025 13:39:00,62.9425341697097,494.777132536033,19.31
05-01-2025 13:49:00,63.6845633079618,494.010248374991,19.38
05-01-2025 13:59:00,63.2369605469287,494.549607433741,19.46
05-01-2025 14:09:00,64.7769921964119,493.083910705566,19.53
05-01-2025 14:19:00,62.1239336989957,494.381302374133,19.58
05-01-2025 14:29:00,63.0580114939334,492.788218308858,19.63
05-01-2025 14:39:00,63.1906431923067,491.579880342825,19.67
05-01-2025 14:49:00,64.2169206066616,492.652396180923,19.7
05-01-2025 14:59:00,63.0400028524286,491.604339906166,19.71
05-01-2025 15:09:00,63.9538538569863,492.239404447983,19.71
05-01-2025 15:19:00,63.0676758604488,491.065922365879,19.7
05-01-2025 15:29:00,61.8865284153027,491.501343463292,19.7
05-01-2025 15:39:00,64.0885464806657,490.514824889193,19.68
05-01-2025 15:49:00,62.300806991831,491.124246479919,19.66
